run_index,chaos_region,Lyapunov_exponent,predictive_information,statistical_complexity,n_causal_states,te_total,graph_entropy_node,graph_entropy_edge,graph_entropy_vn,n_communities
31,intermediate,0.06989169120788574,1.2727801976935522,1.3862888911779023,4,0.047380896750837564,0.6858489513397217,0.6858489513397217,0.6734213829040527,1
32,intermediate,0.07238752394914627,1.2818478439812377,1.3862925401293325,4,0.01588407118106261,0.6837683916091919,0.6837683916091919,0.5786401033401489,1
33,intermediate,0.07306420803070068,1.278838926706356,1.3862925401293325,4,0.08682481199502945,0.6906648874282837,0.6906648874282837,0.5942073464393616,1
34,intermediate,0.07286300510168076,1.2855749592473005,1.3862925401293325,4,0.014127109054243192,0.6901156902313232,0.6901156902313232,0.6779292225837708,1
35,intermediate,0.07399679720401764,1.2716627327787853,1.3862925401293325,4,0.021829827106557786,0.6518372297286987,0.6518372297286987,-0.0,2
36,weak_chaos,0.06642802804708481,1.276502430147053,1.3862925401293325,4,0.023235997068695724,0.6562962532043457,0.6562962532043457,-0.0,2
37,intermediate,0.07174486666917801,1.2801508596143854,1.3862925401293325,4,0.03216474549844861,0.692966103553772,0.692966103553772,0.6809414625167847,1
38,intermediate,0.07383532077074051,1.2855860406914645,1.3862925401293325,4,0.053372338181361556,0.5144662261009216,0.5144662261009216,-0.0,2
39,intermediate,0.07100768387317657,1.289362813481287,1.3862925401293325,4,0.02148016879800707,0.669559121131897,0.669559121131897,0.5519485473632812,1
40,intermediate,0.07090222835540771,1.285862304960728,1.4039995983659568,5,0.027957139303907752,0.6924784183502197,0.6924784183502197,0.6804261207580566,1
41,weak_chaos,0.0659000426530838,1.2874530832248474,1.3862888911779023,4,0.014564919983968139,0.6834084987640381,0.6834084987640381,0.6708438396453857,1
42,weak_chaos,0.06339854001998901,1.2712470054582243,1.3862925401293325,4,0.04390087258070707,0.6923326253890991,0.6923326253890991,0.6802719831466675,1
43,intermediate,0.07435773313045502,1.2764925777252516,1.3862888911779023,4,0.023635942488908768,0.6792579889297485,0.6792579889297485,0.6664611101150513,1
44,intermediate,0.06992268562316895,1.2837215776536035,1.3862888911779023,4,0.05162058072164655,0.6830300092697144,0.6830300092697144,-0.0,2
45,weak_chaos,0.06823443621397018,1.2801643465694872,1.3862888911779023,4,0.02343419985845685,-0.0,0.680662989616394,3.1166536018645274e-08,1
46,weak_chaos,0.06275911629199982,1.2874530832248474,1.3862888911779023,4,0.015471097431145608,0.6820080876350403,0.6820080876350403,0.669364869594574,1
47,weak_chaos,0.06407489627599716,1.2837050224318387,1.3862925401293325,4,0.02606504622963257,0.6578967571258545,0.6578967571258545,0.5315784215927124,1
48,weak_chaos,0.06148919090628624,1.2894236020724796,1.3862934506246114,4,0.030417254311032593,-0.0,0.6912766695022583,4.93159779679786e-09,1
