run_index,chaos_region,Lyapunov_exponent,diffusion_alpha,predictive_information_peak,statistical_complexity,te_total_score,lambda_burst_count,lambda_burst_duration,lambda_burst_waiting_time,lambda_burst_peak,lambda_burst_fraction,entropy_burst_count,entropy_burst_duration,entropy_burst_waiting_time,entropy_burst_peak,entropy_burst_fraction,entropy_burst_distance,baseline_distance,inverse_distance_corr
31,intermediate,0.06989169120788574,0.0013318550838541125,3.760373115539551,9.962302260463321,0.08315896987915039,1,1.32,,0.3574293255805969,0.0825,19,0.40421052631578946,0.04000000000000001,0.051951709546540915,0.09169054441260745,0.995534364947526,0.994302061381545,-0.054718884233451275
32,intermediate,0.07238752394914627,0.4135921590443073,3.5449981689453125,9.967047805945718,0.05951499938964844,1,1.32,,0.35732167959213257,0.0825,28,0.2742857142857143,0.04,0.040550334112984796,0.09169054441260745,1.0040692618332165,1.003045184221636,-0.045028261122408875
33,intermediate,0.07306420803070068,0.29981009055918845,3.4130825996398926,8.89056133327129,0.09578227996826172,1,1.28,,0.3564036190509796,0.08,19,0.40210526315789474,0.04000000000000001,0.04936380135385614,0.09121298949379178,1.004389388040382,1.0040154466832498,-0.040087132049272174
34,intermediate,0.07286300510168076,-0.1036992784809791,3.3109731674194336,9.909536711446126,0.062290191650390625,1,1.24,,0.35526591539382935,0.0775,24,0.32,0.040000000000000015,0.03859188159306844,0.09169054441260745,1.0044133482058302,1.0037811718117517,-0.07125606146174007
35,intermediate,0.07399679720401764,0.39333782126211436,3.924592971801758,10.369390510505333,0.05125164985656738,1,1.32,,0.3592120409011841,0.0825,18,0.42444444444444446,0.04,0.03609167204962836,0.09121298949379178,1.0166720458551608,0.9797328318212759,-0.013614104970959289
36,weak_chaos,0.06642802804708481,0.1649939419218847,3.8676204681396484,10.14992616456227,0.05476999282836914,1,1.36,,0.36060774326324463,0.085,18,0.42444444444444446,0.04,0.04027787844340006,0.09121298949379178,1.0061419491990504,0.9858312421103236,-0.05667333007582611
37,intermediate,0.07174486666917801,0.1363367140632214,3.7804174423217773,10.074110609599542,0.06683540344238281,1,1.4000000000000001,,0.36177510023117065,0.0875,15,0.5120000000000001,0.039999999999999994,0.051576455434163414,0.09169054441260745,1.0070628146614806,0.9944853499512398,-0.039183935787745344
38,intermediate,0.07383532077074051,0.4457001998493498,3.5878429412841797,10.080224515041007,0.046388864517211914,1,1.36,,0.3589332401752472,0.085,27,0.28444444444444444,0.04,0.03027449713812934,0.09169054441260745,1.0080722065604968,1.00427803337715,-0.0651906880418381
39,intermediate,0.07100768387317657,0.10679827931796167,3.368389129638672,9.99962615873462,0.05748605728149414,1,1.24,,0.3558723032474518,0.0775,22,0.3490909090909091,0.04000000000000001,0.045046752149408516,0.09169054441260745,1.002913198368703,1.0037768810546814,-0.039557215901643135
40,intermediate,0.07090222835540771,-0.08995307215115597,3.19942045211792,9.418176997733948,0.09094810485839844,1,1.24,,0.3538185954093933,0.0775,26,0.2953846153846154,0.04,0.03846914034623366,0.09169054441260745,1.006317292274015,1.0039430577428081,-0.09218838966865157
41,weak_chaos,0.0659000426530838,0.2569506417005816,3.0875253677368164,9.91257288342186,0.05396461486816406,1,1.24,,0.3530125319957733,0.0775,37,0.20756756756756758,0.04000000000000001,0.033697360270732155,0.09169054441260745,1.0041808091803843,1.0038025033702926,-0.10225836227140447
42,weak_chaos,0.06339854001998901,-0.06690264732549969,3.934767246246338,9.233230400605182,0.06030535697937012,1,1.52,,0.3690752685070038,0.095,8,0.9450000000000001,0.04,0.04938739538192749,0.09025787965616046,1.0066328916011775,0.9954348839776185,-0.04730777149402973
43,intermediate,0.07435773313045502,0.4495668153442143,3.5196657180786133,10.14027172792557,0.059032440185546875,1,1.4000000000000001,,0.36470168828964233,0.0875,15,0.5093333333333333,0.039999999999999994,0.041095765431722005,0.09121298949379178,1.0069623998755817,0.9857952508016429,-0.06696087288667049
44,intermediate,0.06992268562316895,0.2591789607893062,3.379434108734131,10.0810326319858,0.05545210838317871,1,1.24,,0.35781583189964294,0.0775,9,0.8400000000000001,0.04,0.07192105717129177,0.09025787965616046,0.9947787313166947,0.9965370959260696,0.001206534117644209
45,weak_chaos,0.06823443621397018,-0.09931607330151654,3.202249050140381,9.909493134275206,0.08023595809936523,1,1.28,,0.35359448194503784,0.08,25,0.30879999999999996,0.04,0.03551850318908691,0.09216809933142311,1.0032991364165105,1.0023930689665006,-0.06012697945113806
46,weak_chaos,0.06275911629199982,0.2744479672243859,3.106235980987549,9.936898109707938,0.06053614616394043,1,1.24,,0.3526267111301422,0.0775,28,0.27571428571428575,0.04,0.0417411071913583,0.09216809933142311,1.0052457310101417,1.0038179389413961,-0.1221280083951534
47,weak_chaos,0.06407489627599716,0.09659729198553833,3.037726879119873,9.940961628044647,0.06526803970336914,1,1.24,,0.35231372714042664,0.0775,28,0.2742857142857143,0.04,0.03779842172350202,0.09169054441260745,1.0047250352062511,1.0041979366965925,-0.05151557319531084
48,weak_chaos,0.06148919090628624,-0.5263368839471032,2.9725356101989746,9.710075961732372,0.0683140754699707,1,1.2,,0.3521897494792938,0.075,44,0.17454545454545456,0.04000000000000001,0.036858992143110794,0.09169054441260745,1.0048052413153519,1.0037629248691151,-0.08093827857919228
