class_name,run,start,end,duration,size,area,max_front_radius,front_velocity,fractal_dimension_box,radius_of_gyration,anisotropy
weak_chaos,7,54,121,67,0.07114385068416595,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,7,208,271,63,0.07502515614032745,63,0.0,0.0,1.0,18.184242248535156,1.0
weak_chaos,7,358,427,69,0.0903502032160759,69,0.0,0.0,1.0,19.916492462158203,1.0
weak_chaos,7,512,571,59,0.05720963329076767,59,0.0,0.0,1.0,17.029386520385742,1.0
weak_chaos,7,660,726,66,0.06468571722507477,66,0.0,0.0,1.0,19.050373077392578,1.0
weak_chaos,7,827,860,33,0.0044794827699661255,33,0.0,0.0,1.0,9.521904945373535,1.0
weak_chaos,7,1181,1237,56,0.017832588404417038,56,0.0,0.0,1.0,16.16322898864746,1.0
weak_chaos,7,1337,1392,55,0.025885269045829773,55,0.0,0.0,1.0,15.874506950378418,1.0
weak_chaos,7,1483,1547,64,0.05318843200802803,64,0.0,0.0,1.0,18.47295379638672,1.0
weak_chaos,7,1636,1698,62,0.059338346123695374,62,0.0,0.0,1.0,17.895530700683594,1.0
weak_chaos,7,1786,1853,67,0.07511389255523682,67,0.0,0.0,1.0,19.339078903198242,1.0
weak_chaos,7,1939,1998,59,0.05570097267627716,59,0.0,0.0,1.0,17.029386520385742,1.0
weak_chaos,7,2086,2100,14,0.00677986815571785,14,0.0,0.0,0.9597920775413513,4.031128883361816,1.0
weak_chaos,8,46,109,63,0.03838486596941948,63,0.0,0.0,1.0,18.184242248535156,1.0
weak_chaos,8,209,236,27,0.0024892278015613556,27,0.0,0.0,1.0,7.788880825042725,1.0
weak_chaos,8,360,376,16,0.00024313107132911682,16,0.0,0.0,1.0,4.609772205352783,1.0
weak_chaos,8,544,590,46,0.007600273936986923,46,0.0,0.0,1.0,13.275918006896973,1.0
weak_chaos,8,697,745,48,0.014005780220031738,48,0.0,0.0,1.0,13.853399276733398,1.0
weak_chaos,8,841,900,59,0.029071643948554993,59,0.0,0.0,1.0,17.029386520385742,1.0
