time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
5.6000000000000005,-0.0,-0.0,-0.0,-0.0,1,1
5.8,0.6924824282136017,-0.0,0.0966204504715056,-0.0,2,1
6.0,-0.0,-0.0,-0.0,-0.0,1,1
6.2,-0.0,0.40609642111261135,-0.0,0.05666168200684467,1,2
6.4,-0.0,0.03257753475222791,-0.0,0.004545467083015238,1,2
6.6000000000000005,-0.0,0.6426458304825565,-0.0,0.08966686677529156,1,2
6.8,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
7.0,-0.0,-0.0,-0.0,-0.0,1,1
7.2,-0.0,-0.0,-0.0,-0.0,1,1
7.4,-0.0,0.07503344297458514,-0.0,0.010469240467710748,1,2
7.6000000000000005,-0.0,0.11595140077975584,-0.0,0.016178427234671076,1,2
7.8,-0.0,0.07503344297458514,-0.0,0.010469240467710748,1,2
8.0,-0.0,0.018097237858072095,-0.0,0.0025250651899538924,1,2
8.2,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
8.4,-0.0,-0.0,-0.0,-0.0,1,1
8.6,-0.0,-0.0,-0.0,-0.0,1,1
8.8,0.36390475026402175,-0.0,0.05077477704370709,-0.0,2,1
9.0,0.18526762164370725,-0.0,0.02584995709880722,-0.0,2,1
9.200000000000001,-0.0,0.28054664780519223,-0.0,0.03914401634585198,1,2
9.4,-0.0,0.6820895170598323,-0.0,0.09517035193257517,1,2
9.6,-0.0,0.48257756517701206,-0.0,0.06733291681512939,1,2
9.8,-0.0,0.12070109643414505,-0.0,0.016841141139070804,1,2
10.0,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
10.200000000000001,-0.0,0.009952003136362964,-0.0,0.001388579676468878,1,2
10.4,-0.0,-0.0,-0.0,-0.0,1,1
10.6,-0.0,0.13906079845474112,-0.0,0.01940282733857307,1,2
10.8,-0.0,0.7022492210070445,-0.0,0.09798318818284173,1,3
11.0,0.06375800106523846,0.7438162353493443,0.008896004480543833,0.10378293628745314,2,3
