outer_radius_0,outer_speed_scale_0,outer_phase_0,Lyapunov_exponent,Lyapunov_1,Lyapunov_2,Lyapunov_3,Lyapunov_4,Lyapunov_5,Lyapunov_6,Lyapunov_7,Lyapunov_8,Lyapunov_9,Lyapunov_10,Lyapunov_11,Lyapunov_12,KS_entropy_Pesin,Positive_lyapunov_count,Pesin_gap_lambda1,LZMA_ratio,Lempel_Ziv_complexity,Permutation_entropy,chaos_region
1.48,0.9266666666666666,1.5707963267948966,0.21777292633692427,0.21777292633692427,0.08914871555710217,0.06855644266057051,0.0642561266598575,0.04330010334187562,0.011965814494964906,-0.019803772651863394,-0.057143150565847844,-0.057468597419597874,-0.06494609561513966,-0.06541398023772971,-0.23122866041142126,0.495000129051295,6,0.27722720271437074,0.31533333333333335,0.3472373277289364,0.1605395067047604,strong_chaos
1.5933333333333333,0.9266666666666666,1.5707963267948966,0.08065994758690576,0.08065994758690576,0.06374480127816438,0.06091392715887637,0.031527354035473035,0.002875818284659673,-0.002048056070492147,-0.006140994643035345,-0.023497838894621027,-0.04308100996072858,-0.052292916121118714,-0.05586187859354086,-0.056799191142375055,0.23972184834407922,5,0.15906190075717347,0.32133333333333336,0.36187986564521685,0.16581976313143024,strong_chaos
1.7066666666666668,0.9266666666666666,1.5707963267948966,0.08316491866014102,0.08316491866014102,0.08304801964243883,0.06403359534501317,0.06086705973854742,0.007515620500926007,-0.001774532981272334,-0.009292590695973624,-0.029177247459290914,-0.05333946618325762,-0.056844088653589364,-0.06710001715399098,-0.08110123186558531,0.2986292138870664,5,0.2154642952269254,0.336,0.3556044922525252,0.16555421754061794,strong_chaos
1.82,0.9266666666666666,1.5707963267948966,0.06932077757700861,0.06932077757700861,0.06312585083613295,0.0612988428585951,0.03768299250196588,0.005035588217524243,-0.005225613092251751,-0.007950814836891716,-0.0145845868547096,-0.03574367259840367,-0.05603158872827811,-0.05644310062615296,-0.060484643740061704,0.2364640519912268,5,0.1671432744142182,0.334,0.353512701121628,0.163426891689408,intermediate
1.9333333333333333,0.9266666666666666,1.5707963267948966,0.06731988279508315,0.06731988279508315,0.06376491087876114,0.060707903155446635,0.054812384215616454,0.009876415399857418,0.0027296844273634446,0.002202690078899579,-0.013135018479715037,-0.05191293303781078,-0.055652781811815974,-0.0653621954518229,-0.07535090493114881,0.2614138709510278,7,0.19409398815594464,0.3273333333333333,0.3514209099907308,0.16390755284510347,weak_chaos
2.046666666666667,0.9266666666666666,1.5707963267948966,0.0641049161503656,0.0641049161503656,0.06177530322474797,0.05381339241875456,0.05106197792775055,0.005201202078367822,0.0022756908939577107,-0.0005020438001712756,-0.02514205494128898,-0.04520013361080759,-0.052654911957163736,-0.056701234335377645,-0.05803206303719719,0.2382324826939442,6,0.17412756654357858,0.31933333333333336,0.353512701121628,0.16398950388524353,weak_chaos
2.16,0.9266666666666666,1.5707963267948966,0.06628878379390496,0.06628878379390496,0.0638898219810329,0.06051577710966241,0.05740321428884946,0.001238863934375082,0.0005455327686352165,-0.0013521535080621289,-0.0054125107327347806,-0.05475846871682278,-0.05654693436742197,-0.0590478927291039,-0.07276400827466288,0.24933646110782479,5,0.18304767731391983,0.328,0.353512701121628,0.16362295144759428,weak_chaos
1.48,0.97,1.5707963267948966,0.35543580422071724,0.35543580422071724,0.16755412963686264,0.07193176047331488,0.06212302382079132,0.052093406736114525,-0.00479840354833191,-0.022641596384196883,-0.051085837994266546,-0.05316025570635071,-0.09037874128268329,-0.18178393842148502,-0.30579395672364745,0.7091381248878006,5,0.35370232066708335,0.33066666666666666,0.3451455365980392,0.1578970756990227,strong_chaos
1.5933333333333333,0.97,1.5707963267948966,0.0770050339013702,0.0770050339013702,0.06402339075729799,0.06252582463034856,0.060551762364558094,0.016361069421674496,-0.005215047415590695,-0.015867008217887973,-0.0251059490488868,-0.05286094276858023,-0.053488605683134724,-0.061393673111596735,-0.06653587067119215,0.2804670810752493,5,0.2034620471738791,0.348,0.353512701121628,0.16426518233298315,strong_chaos
1.7066666666666668,0.97,1.5707963267948966,0.07450114682106755,0.07450114682106755,0.06354557811990297,0.06123344767565592,0.05396143877407017,-0.0008379441340631612,-0.0030820799984080604,-0.003585459816687083,-0.018871036133307758,-0.05317399439945777,-0.05544762305981551,-0.05604298884196648,-0.06220045516746646,0.2532416113906966,4,0.17874046456962905,0.3406666666666667,0.3556044922525252,0.16376078231360663,strong_chaos
