lag_step,lag_time,weak_chaos_mi_normalized_excess_mean,weak_chaos_mi_normalized_excess_std,weak_chaos_mi_excess_mean,weak_chaos_mi_excess_std,weak_chaos_te_forward_mean,weak_chaos_te_forward_std,weak_chaos_te_backward_mean,weak_chaos_te_backward_std,weak_chaos_te_net_mean,weak_chaos_te_net_std,strong_chaos_mi_normalized_excess_mean,strong_chaos_mi_normalized_excess_std,strong_chaos_mi_excess_mean,strong_chaos_mi_excess_std,strong_chaos_te_forward_mean,strong_chaos_te_forward_std,strong_chaos_te_backward_mean,strong_chaos_te_backward_std,strong_chaos_te_net_mean,strong_chaos_te_net_std
290,2.9,0.6455477443585348,0.07567227624971433,0.48475666456808925,0.26569300120535055,0.00912533517845265,0.005872255088801268,0.010496411958028659,0.006147997918097268,-0.001371076779576009,0.0005582767654073577,0.5734801470414649,0.12573161806608332,0.09006159743650263,0.015744506444614892,0.00019333598739378725,0.00035041171571352254,0.000445921405712163,0.00039015385661060376,-0.00025258541831837576,0.0004643427648084861
300,3.0,0.6934780779094647,0.10583556837469794,0.5327767628238241,0.31318220195252294,0.009619638727147453,0.007002791742465058,0.010244623856244299,0.0069872180580448015,-0.0006249851290968448,0.0017510440219668925,0.5750518285892123,0.09029557671567835,0.0907002830000608,0.010999043000594507,0.0005474327562560336,0.0005426693201321578,0.00012738949181529403,0.00016869918849504828,0.0004200432644407396,0.0006561652180982494
310,3.1,0.7188441118522624,0.15731006853562984,0.5725861599540576,0.3978010753927375,0.0060582111766051775,0.004779314451703041,0.006902408348706386,0.005780166953990368,-0.0008441971721012093,0.002781241899503086,0.5573926652584695,0.07176853371052112,0.08804815425658546,0.008837907414239588,0.0005013384531208257,0.0004848368206043835,0.0004247805968223068,0.0005203873519496878,7.655785629851891e-05,0.0007197142158383602
320,3.2,0.666723884848186,0.09608364893156272,0.5120880579538689,0.31967331601818405,0.00285195262564087,0.003159646278323284,0.0036968172178805632,0.002012539287940937,-0.0008448645922396931,0.001827669596374701,0.5608106765950929,0.07473882983775348,0.08864862057416864,0.010109762253007587,0.00038513817397109115,0.00047181916406073885,0.00015607835735083792,0.00021301398992579123,0.00022905981662025323,0.0005417764681153863
330,3.3000000000000003,0.6095853491486254,0.05149162928562166,0.45393165426469884,0.25901475676964414,0.0036570898122277686,0.0037318097498289884,0.0035678868766417433,0.0029297374166668893,8.920293558602535e-05,0.001788010152552893,0.5785083095306509,0.08060707499200494,0.09134559997050185,0.010371263719887771,0.00016554149686883596,0.00029715876415434804,5.341357582127164e-05,0.00010682715164254327,0.00011212792104756431,0.00019103292884637197
340,3.4,0.5649103727953415,0.07537964324094923,0.4244596294694789,0.26112933304871194,0.004445879909881524,0.0034090817672733863,0.004365527222106242,0.0036523570180958275,8.035268777528164e-05,0.0015313019621000735,0.584951945825239,0.10326907287239086,0.0923758615626098,0.014619275088267209,0.00026931322882969985,0.0002603403969370612,4.5105109322629565e-05,6.513153688972312e-05,0.00022420811950707025,0.00022844103017245553
350,3.5,0.5039361242067557,0.04646953743382802,0.3671747863776976,0.19570673592817317,0.006169533916549573,0.004001792734127166,0.006174074517173033,0.0052107694369425365,-4.540600623459488e-06,0.002573382637596927,0.5643168652166594,0.09141412750640025,0.08912352005685975,0.0123727165419998,1.1662938830131129e-05,2.3325877660262254e-05,9.357099637241039e-05,0.00018714199274482077,-8.190805754227925e-05,0.00019429062671949914
360,3.6,0.46455090100692675,0.06614280121788761,0.33979390493052686,0.18135559227726977,0.008034699818156717,0.005158566478794962,0.006629859442508666,0.005406175798071814,0.0014048403756480499,0.0013698400980572051,0.5732873953159853,0.09337765079298993,0.09064146770799399,0.013573895971180356,9.979234983740481e-05,0.00013443712706785323,0.0,0.0,9.979234983740481e-05,0.00013443712706785323
370,3.7,0.44395290514211805,0.0817133367298405,0.3217103411340739,0.16973624862276848,0.009660075304623397,0.0057098520969722745,0.00822757367490785,0.005691156541696571,0.001432501629715544,0.0014493334526053797,0.5692282665775756,0.11359223084501344,0.08958773886004048,0.014854918137884962,0.0,0.0,2.2347146909845045e-05,4.46942938196901e-05,-2.2347146909845045e-05,4.46942938196901e-05
380,3.8000000000000003,0.4415077940515982,0.11390210621482368,0.32114366440293124,0.17492851727461894,0.00958987225930626,0.005358119325902444,0.009143520197247967,0.00488867759957252,0.000446352062058291,0.001518967588080266,0.5618083499420968,0.12009877964176674,0.08834442661184702,0.015830831712190754,0.00012344491420561188,0.00024688982841122376,0.0,0.0,0.00012344491420561188,0.00024688982841122376
390,3.9,0.4291097726401931,0.11235766371841949,0.31203686920040263,0.16967345016500587,0.00832844881808026,0.005518708321881724,0.00820617200640911,0.004474862394481211,0.00012227681167114763,0.0013742977010640501,0.5847634453941717,0.1107607757492003,0.09179858883185654,0.012560924851825795,0.0,0.0,0.00015449212998960848,0.00030898425997921697,-0.00015449212998960848,0.00030898425997921697
400,4.0,0.4316692665186676,0.10214766750164636,0.3156095019378609,0.17845866981709826,0.009078308109948544,0.005503763058163344,0.007729818603583402,0.0044205882884573305,0.0013484895063651415,0.0019430771842585373,0.563357482759069,0.11778718748767394,0.08826134511944632,0.0129524805594102,0.0,0.0,3.64838446010568e-05,7.296768920211361e-05,-3.64838446010568e-05,7.296768920211361e-05
410,4.1,0.4424197609838716,0.08481816956637007,0.32070281626095015,0.17882256025124643,0.01019013624948956,0.006875726156488604,0.009188782978321479,0.0056003787160190015,0.0010013532711680814,0.0021963878220187384,0.5707202106907553,0.0996997033385644,0.08969979676388593,0.010608690460554137,0.00014161264281511467,0.0002832252856302294,0.0002881871328418224,0.00035441145256681926,-0.00014657449002670775,0.0005361398354393466
420,4.2,0.45249340623925577,0.05781575512063228,0.32930075447911855,0.17751195113807214,0.011854365240202515,0.00806575514979434,0.010578630921678892,0.007629436725772953,0.0012757343185236234,0.0013643255625443154,0.5851342325493267,0.1191581527886177,0.09217315844305712,0.016188038264638643,0.0001184319814778876,0.00014835471993433335,0.00040608504428172183,0.0008121700885634437,-0.0002876530628038342,0.000759830328442677
430,4.3,0.4971896426714057,0.04644734210541544,0.36429984671047333,0.19720311982855096,0.009764256527979302,0.007352036351894011,0.009277094366733005,0.006494471727339849,0.0004871621612462972,0.0013517644449796624,0.6074829075665055,0.121135132860478,0.0958164576220708,0.016861670280972126,1.5351630392734794e-05,3.070326078546959e-05,0.00010099842866882376,0.0002019968573376475,-8.564679827608896e-05,0.00021176969020964267
440,4.4,0.5542598977307498,0.07677510528079949,0.4173970520382742,0.24562817885377322,0.007581206995424095,0.006219619984860743,0.007876694431089772,0.0063154827751287675,-0.00029548743566567664,0.0006580098763869087,0.6386773289142805,0.14072619221939417,0.10050902471910658,0.018626823153595717,0.0,0.0,1.4409879647185943e-05,2.8819759294371887e-05,-1.4409879647185943e-05,2.8819759294371887e-05
