noise_type,source_index,source_region,trial,theta1_0,theta2_0,LZMA_ratio,source_LZMA_ratio,LZMA_ratio_delta_vs_source,Lempel_Ziv_complexity,source_Lempel_Ziv_complexity,Lempel_Ziv_complexity_delta_vs_source,Permutation_entropy,source_Permutation_entropy,Permutation_entropy_delta_vs_source
gaussian_white,3,weak_chaos,1,1.7278759594743862,0.47123889803846897,0.928,0.7026666666666667,0.22533333333333339,1.5897612594818775,0.5103970359389186,1.0793642235429588,0.9984947700613327,0.24678371292443868,0.751711057136894
gaussian_white,3,weak_chaos,2,1.7278759594743862,0.47123889803846897,0.9326666666666666,0.7026666666666667,0.22999999999999998,1.593944841743672,0.5103970359389186,1.0835478058047534,0.997228002128393,0.24678371292443868,0.7504442892039543
gaussian_white,3,weak_chaos,3,1.7278759594743862,0.47123889803846897,0.926,0.7026666666666667,0.22333333333333338,1.5918530506127748,0.5103970359389186,1.081456014673856,0.9972760378198223,0.24678371292443868,0.7504923248953836
gaussian_white,3,weak_chaos,4,1.7278759594743862,0.47123889803846897,0.9393333333333334,0.7026666666666667,0.2366666666666667,1.5960366328745692,0.5103970359389186,1.0856395969356507,0.9974710752061906,0.24678371292443868,0.7506873622817519
gaussian_white,3,weak_chaos,5,1.7278759594743862,0.47123889803846897,0.938,0.7026666666666667,0.23533333333333328,1.5855776772200831,0.5103970359389186,1.0751806412811646,0.998105077817813,0.24678371292443868,0.7513213648933743
gaussian_white,3,weak_chaos,6,1.7278759594743862,0.47123889803846897,0.93,0.7026666666666667,0.2273333333333334,1.5918530506127748,0.5103970359389186,1.081456014673856,0.9976022979006257,0.24678371292443868,0.750818584976187
gaussian_white,3,weak_chaos,7,1.7278759594743862,0.47123889803846897,0.9133333333333333,0.7026666666666667,0.21066666666666667,1.5876694683509802,0.5103970359389186,1.0772724324120615,0.9982644063618377,0.24678371292443868,0.751480693437399
gaussian_white,3,weak_chaos,8,1.7278759594743862,0.47123889803846897,0.93,0.7026666666666667,0.2273333333333334,1.593944841743672,0.5103970359389186,1.0835478058047534,0.9979588806606448,0.24678371292443868,0.7511751677362061
gaussian_white,3,weak_chaos,9,1.7278759594743862,0.47123889803846897,0.92,0.7026666666666667,0.21733333333333338,1.5960366328745692,0.5103970359389186,1.0856395969356507,0.9981396890342104,0.24678371292443868,0.7513559761097717
gaussian_white,3,weak_chaos,10,1.7278759594743862,0.47123889803846897,0.9266666666666666,0.7026666666666667,0.22399999999999998,1.593944841743672,0.5103970359389186,1.0835478058047534,0.997684932115523,0.24678371292443868,0.7509012191910843
gaussian_white,3,weak_chaos,11,1.7278759594743862,0.47123889803846897,0.9186666666666666,0.7026666666666667,0.21599999999999997,1.593944841743672,0.5103970359389186,1.0835478058047534,0.9981121295900544,0.24678371292443868,0.7513284166656157
gaussian_white,3,weak_chaos,12,1.7278759594743862,0.47123889803846897,0.9306666666666666,0.7026666666666667,0.22799999999999998,1.593944841743672,0.5103970359389186,1.0835478058047534,0.9985073524957307,0.24678371292443868,0.7517236395712921
gaussian_white,3,weak_chaos,13,1.7278759594743862,0.47123889803846897,0.9086666666666666,0.7026666666666667,0.20599999999999996,1.5918530506127748,0.5103970359389186,1.081456014673856,0.9973095279750442,0.24678371292443868,0.7505258150506056
gaussian_white,3,weak_chaos,14,1.7278759594743862,0.47123889803846897,0.9306666666666666,0.7026666666666667,0.22799999999999998,1.5960366328745692,0.5103970359389186,1.0856395969356507,0.9978983589458481,0.24678371292443868,0.7511146460214094
gaussian_white,3,weak_chaos,15,1.7278759594743862,0.47123889803846897,0.904,0.7026666666666667,0.20133333333333336,1.593944841743672,0.5103970359389186,1.0835478058047534,0.9981141125679771,0.24678371292443868,0.7513303996435384
gaussian_white,3,weak_chaos,16,1.7278759594743862,0.47123889803846897,0.9406666666666667,0.7026666666666667,0.238,1.5960366328745692,0.5103970359389186,1.0856395969356507,0.9984008647186435,0.24678371292443868,0.7516171517942049
gaussian_white,4,strong_chaos,1,2.146754979953025,0.47123889803846897,0.924,0.728,0.19600000000000006,1.5918530506127748,0.6526388328399286,0.9392142177728462,0.9973519339322031,0.300221318223325,0.6971306157088781
gaussian_white,4,strong_chaos,2,2.146754979953025,0.47123889803846897,0.9153333333333333,0.728,0.18733333333333335,1.5918530506127748,0.6526388328399286,0.9392142177728462,0.9979690221164527,0.300221318223325,0.6977477038931277
gaussian_white,4,strong_chaos,3,2.146754979953025,0.47123889803846897,0.9313333333333333,0.728,0.20333333333333337,1.5918530506127748,0.6526388328399286,0.9392142177728462,0.9981319167511388,0.300221318223325,0.6979105985278138
gaussian_white,4,strong_chaos,4,2.146754979953025,0.47123889803846897,0.9386666666666666,0.728,0.21066666666666667,1.5897612594818775,0.6526388328399286,0.9371224266419489,0.997604253143919,0.300221318223325,0.697382934920594
gaussian_white,4,strong_chaos,5,2.146754979953025,0.47123889803846897,0.934,0.728,0.20600000000000007,1.5897612594818775,0.6526388328399286,0.9371224266419489,0.997864754024333,0.300221318223325,0.697643435801008
gaussian_white,4,strong_chaos,6,2.146754979953025,0.47123889803846897,0.9266666666666666,0.728,0.19866666666666666,1.5897612594818775,0.6526388328399286,0.9371224266419489,0.9982049611324868,0.300221318223325,0.6979836429091618
gaussian_white,4,strong_chaos,7,2.146754979953025,0.47123889803846897,0.9426666666666667,0.728,0.21466666666666667,1.5918530506127748,0.6526388328399286,0.9392142177728462,0.9986013957325708,0.300221318223325,0.6983800775092458
gaussian_white,4,strong_chaos,8,2.146754979953025,0.47123889803846897,0.91,0.728,0.18200000000000005,1.5876694683509802,0.6526388328399286,0.9350306355110516,0.997760004599224,0.300221318223325,0.697538686375899
gaussian_white,4,strong_chaos,9,2.146754979953025,0.47123889803846897,0.9226666666666666,0.728,0.19466666666666665,1.5897612594818775,0.6526388328399286,0.9371224266419489,0.997777017105671,0.300221318223325,0.697555698882346
gaussian_white,4,strong_chaos,10,2.146754979953025,0.47123889803846897,0.9366666666666666,0.728,0.20866666666666667,1.5960366328745692,0.6526388328399286,0.9433978000346406,0.9977688460861548,0.300221318223325,0.6975475278628298
gaussian_white,4,strong_chaos,11,2.146754979953025,0.47123889803846897,0.9213333333333333,0.728,0.19333333333333336,1.5897612594818775,0.6526388328399286,0.9371224266419489,0.9977379536319579,0.300221318223325,0.697516635408633
gaussian_white,4,strong_chaos,12,2.146754979953025,0.47123889803846897,0.9113333333333333,0.728,0.18333333333333335,1.5960366328745692,0.6526388328399286,0.9433978000346406,0.9979575258911406,0.300221318223325,0.6977362076678156
gaussian_white,4,strong_chaos,13,2.146754979953025,0.47123889803846897,0.9266666666666666,0.728,0.19866666666666666,1.593944841743672,0.6526388328399286,0.9413060089037433,0.9980167507579065,0.300221318223325,0.6977954325345815
gaussian_white,4,strong_chaos,14,2.146754979953025,0.47123889803846897,0.936,0.728,0.20800000000000007,1.5960366328745692,0.6526388328399286,0.9433978000346406,0.9983401563127159,0.300221318223325,0.6981188380893909
gaussian_white,4,strong_chaos,15,2.146754979953025,0.47123889803846897,0.9306666666666666,0.728,0.20266666666666666,1.5918530506127748,0.6526388328399286,0.9392142177728462,0.9980097898325381,0.300221318223325,0.6977884716092131
