time,weak_chaos_entropy,strong_chaos_entropy,weak_chaos_normalized_entropy,strong_chaos_normalized_entropy,weak_chaos_occupied_cells,strong_chaos_occupied_cells
5.4,0.6620600575056624,2.8168279618499152,0.07959589681117343,0.3386519776331866,2,35
5.6000000000000005,-0.0,2.891731897123165,-0.0,0.34765727229666876,1,35
5.8,0.6495958263892689,2.8627330460473766,0.07809738977616387,0.3441708974101256,2,32
6.0,-0.0,2.9996115114487227,-0.0,0.36062705434671005,1,42
6.2,-0.0,3.0469909696188497,-0.0,0.3663232301252141,1,45
6.4,-0.0,3.038814167073079,-0.0,0.3653401774182881,1,50
6.6000000000000005,-0.0,3.210433430937999,-0.0,0.38597303249319936,1,56
6.8,0.29990904438499494,3.225409804991153,0.036056440920998356,0.3877735608746146,2,58
7.0,0.038597684290247056,3.4166589291502687,0.004640390642944773,0.4107664077911741,3,67
7.2,-0.0,3.4420751142105233,-0.0,0.4138220581365696,1,71
7.4,0.3421281007300802,3.4880172033949104,0.04113220952267054,0.41934542682276904,3,68
7.6000000000000005,0.7453896418680072,3.5976764113009176,0.08961416165441453,0.4325291597755864,3,76
7.8,0.2326971707024468,3.528653717080874,0.027975921183442717,0.4242309348872487,3,76
8.0,0.19214003916359207,3.5067672582243405,0.023099956804793792,0.4215996444160036,2,72
8.2,0.04369703646199821,3.5219037269654443,0.0052534581504390864,0.4234194201151171,3,75
8.4,0.6949834730336177,3.5344127620640773,0.08355410083711576,0.4249233136903757,3,78
8.6,0.3944234040548106,3.59937283946753,0.04741939075336826,0.43273311215085275,3,83
8.8,0.3111291548118492,3.635943570217795,0.037405374060252454,0.43712981314211047,2,82
9.0,0.6481571362109642,3.589544362837722,0.0779244238440292,0.431551487609743,3,79
9.200000000000001,0.35465306905309996,3.680789515965871,0.04263801866324654,0.4425213984366709,3,88
9.4,0.6082723469172135,3.757757648132714,0.07312929153394626,0.4517748603186368,3,98
9.6,0.6147838490351121,3.803644441213392,0.07391213418513212,0.45729158105361944,2,95
9.8,0.6739505391643472,3.7521148643076625,0.08102542505473724,0.45109645896520256,2,90
10.0,1.0703687483316213,3.761351263414077,0.12868464042837977,0.45220690123074386,5,98
10.200000000000001,0.7412231995388829,3.764054086353285,0.08911325284721643,0.45253184700164356,4,94
10.4,1.051568012822224,3.7996618429478106,0.12642432977134038,0.4568127748229855,6,93
10.6,0.7208215888056898,3.7762183685764894,0.08666047762797269,0.45399429280492615,4,90
10.8,0.7979643262482107,3.83062086651618,0.09593493135704971,0.46053481063738977,4,99
